20:36:53.896 [ApplicationImpl pooled thread 440] INFO  com.browserstack.utils.Helpers - null
20:36:53.898 [ApplicationImpl pooled thread 440] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:40:26.590 [ApplicationImpl pooled thread 452] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:40:26.590 [ApplicationImpl pooled thread 452] INFO  com.browserstack.utils.Helpers - null
20:40:26.590 [ApplicationImpl pooled thread 452] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:44:12.533 [ApplicationImpl pooled thread 451] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:44:12.533 [ApplicationImpl pooled thread 451] INFO  com.browserstack.utils.Helpers - null
20:44:12.533 [ApplicationImpl pooled thread 451] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:45:01.065 [ApplicationImpl pooled thread 453] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:45:01.065 [ApplicationImpl pooled thread 453] INFO  com.browserstack.utils.Helpers - null
20:45:01.066 [ApplicationImpl pooled thread 453] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:45:50.811 [ApplicationImpl pooled thread 457] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:45:50.811 [ApplicationImpl pooled thread 457] INFO  com.browserstack.utils.Helpers - null
20:45:50.811 [ApplicationImpl pooled thread 457] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:46:12.512 [ApplicationImpl pooled thread 453] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:46:12.512 [ApplicationImpl pooled thread 453] INFO  com.browserstack.utils.Helpers - null
20:46:12.512 [ApplicationImpl pooled thread 453] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:47:10.653 [ApplicationImpl pooled thread 454] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:47:10.653 [ApplicationImpl pooled thread 454] INFO  com.browserstack.utils.Helpers - null
20:47:10.654 [ApplicationImpl pooled thread 454] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:49:55.865 [ApplicationImpl pooled thread 460] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:49:55.865 [ApplicationImpl pooled thread 460] INFO  com.browserstack.utils.Helpers - null
20:49:55.866 [ApplicationImpl pooled thread 460] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:52:19.464 [ApplicationImpl pooled thread 461] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:52:19.464 [ApplicationImpl pooled thread 461] INFO  com.browserstack.utils.Helpers - null
20:52:19.464 [ApplicationImpl pooled thread 461] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:58:30.025 [ApplicationImpl pooled thread 477] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:58:30.025 [ApplicationImpl pooled thread 477] INFO  com.browserstack.utils.Helpers - null
20:58:30.025 [ApplicationImpl pooled thread 477] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:02:27.617 [ApplicationImpl pooled thread 482] INFO  c.b.l.BrowserStackRunExtension - cucumber java
21:02:27.617 [ApplicationImpl pooled thread 482] INFO  com.browserstack.utils.Helpers - null
21:02:27.617 [ApplicationImpl pooled thread 482] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:02:48.499 [ApplicationImpl pooled thread 476] INFO  c.b.l.BrowserStackRunExtension - cucumber java
21:02:48.499 [ApplicationImpl pooled thread 476] INFO  com.browserstack.utils.Helpers - null
21:02:48.501 [ApplicationImpl pooled thread 476] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:46:31.675 [ApplicationImpl pooled thread 518] INFO  c.b.l.BrowserStackRunExtension - cucumber java
21:46:31.675 [ApplicationImpl pooled thread 518] INFO  com.browserstack.utils.Helpers - null
21:46:31.688 [ApplicationImpl pooled thread 518] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:46:46.816 [ApplicationImpl pooled thread 515] INFO  c.b.l.BrowserStackRunExtension - cucumber java
21:46:46.816 [ApplicationImpl pooled thread 515] INFO  com.browserstack.utils.Helpers - null
21:46:46.816 [ApplicationImpl pooled thread 515] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:50:24.572 [ApplicationImpl pooled thread 517] INFO  c.b.l.BrowserStackRunExtension - cucumber java
21:50:24.572 [ApplicationImpl pooled thread 517] INFO  com.browserstack.utils.Helpers - null
21:50:24.573 [ApplicationImpl pooled thread 517] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:50:46.897 [ApplicationImpl pooled thread 509] INFO  c.b.l.BrowserStackRunExtension - cucumber java
21:50:46.897 [ApplicationImpl pooled thread 509] INFO  com.browserstack.utils.Helpers - null
21:50:46.897 [ApplicationImpl pooled thread 509] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:52:17.306 [ApplicationImpl pooled thread 489] INFO  c.b.l.BrowserStackRunExtension - cucumber java
21:52:17.306 [ApplicationImpl pooled thread 489] INFO  com.browserstack.utils.Helpers - null
21:52:17.318 [ApplicationImpl pooled thread 489] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:54:13.011 [ApplicationImpl pooled thread 515] INFO  c.b.l.BrowserStackRunExtension - cucumber java
21:54:13.011 [ApplicationImpl pooled thread 515] INFO  com.browserstack.utils.Helpers - null
21:54:13.012 [ApplicationImpl pooled thread 515] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
21:54:51.497 [ApplicationImpl pooled thread 515] INFO  c.b.l.BrowserStackRunExtension - cucumber java
21:54:51.497 [ApplicationImpl pooled thread 515] INFO  com.browserstack.utils.Helpers - null
21:54:51.497 [ApplicationImpl pooled thread 515] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:08:24.742 [ApplicationImpl pooled thread 533] INFO  c.b.l.BrowserStackRunExtension - cucumber java
22:08:24.742 [ApplicationImpl pooled thread 533] INFO  com.browserstack.utils.Helpers - null
22:08:24.753 [ApplicationImpl pooled thread 533] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:13:45.853 [ApplicationImpl pooled thread 545] INFO  c.b.l.BrowserStackRunExtension - cucumber java
22:13:45.853 [ApplicationImpl pooled thread 545] INFO  com.browserstack.utils.Helpers - null
22:13:45.853 [ApplicationImpl pooled thread 545] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:32:02.185 [ApplicationImpl pooled thread 557] INFO  c.b.l.BrowserStackRunExtension - cucumber java
22:32:02.185 [ApplicationImpl pooled thread 557] INFO  com.browserstack.utils.Helpers - null
22:32:02.185 [ApplicationImpl pooled thread 557] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:32:50.587 [ApplicationImpl pooled thread 556] INFO  c.b.l.BrowserStackRunExtension - cucumber java
22:32:50.587 [ApplicationImpl pooled thread 556] INFO  com.browserstack.utils.Helpers - null
22:32:50.588 [ApplicationImpl pooled thread 556] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:45:51.252 [ApplicationImpl pooled thread 585] INFO  c.b.l.BrowserStackRunExtension - cucumber java
22:45:51.252 [ApplicationImpl pooled thread 585] INFO  com.browserstack.utils.Helpers - null
22:45:51.252 [ApplicationImpl pooled thread 585] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
